City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Bosaso,SO,2021-02-14 03:42:46,11.2842,49.1816,72.25,65,1,4.65
176,Havelian,PK,2021-02-14 03:42:46,34.0536,73.1657,61.9,31,0,4.16
177,Soyo,AO,2021-02-14 03:42:46,-6.1349,12.3689,79.16,82,100,4.83
178,Clyde River,CA,2021-02-14 03:42:46,70.4692,-68.5914,-4.0,92,100,8.05
179,Were Ilu,ET,2021-02-14 03:41:40,10.6,39.4333,50.31,56,20,5.26
180,Korhogo,CI,2021-02-14 03:42:46,9.45,-5.6333,71.73,42,0,4.63
181,Rawson,AR,2021-02-14 03:40:45,-43.3002,-65.1023,69.48,74,3,7.76
182,Tandlianwala,PK,2021-02-14 03:42:47,31.0333,73.1333,65.64,27,0,5.59
183,Rokytne,UA,2021-02-14 03:42:47,51.2796,27.214,16.07,97,94,8.75
184,Berea,US,2021-02-14 03:38:35,41.3662,-81.8543,24.8,86,90,14.97
185,Hay River,CA,2021-02-14 03:42:47,60.8156,-115.7999,-0.4,71,0,8.05
186,Yellowknife,CA,2021-02-14 03:40:46,62.456,-114.3525,-9.0,77,1,10.36
187,Yuzhnyy,RU,2021-02-14 03:42:47,53.2542,83.6936,-2.2,71,75,8.95
188,Kelo,TD,2021-02-14 03:42:47,9.3086,15.8066,69.1,22,0,3.62
189,Kuching,MY,2021-02-14 03:42:46,1.55,110.3333,80.6,83,40,6.91
190,Andahuaylas,PE,2021-02-14 03:42:48,-13.6556,-73.3872,51.28,77,99,0.38
191,Arraial Do Cabo,BR,2021-02-14 03:42:48,-22.9661,-42.0278,75.81,89,100,17.74
192,Selkirk,CA,2021-02-14 03:42:48,50.1436,-96.8845,-16.6,58,79,5.75
193,Victoria,HK,2021-02-14 03:42:24,22.2855,114.1577,72.0,64,0,1.01
194,Nyurba,RU,2021-02-14 03:42:48,63.2842,118.3319,-16.94,87,98,6.35
195,Bengkulu,ID,2021-02-14 03:42:48,-3.8004,102.2655,86.05,62,97,5.35
196,Caluquembe,AO,2021-02-14 03:42:48,-13.7833,14.6833,55.8,59,38,3.49
197,Hanmer Springs,NZ,2021-02-14 03:42:48,-42.5167,172.8167,75.11,25,100,5.99
198,Norman Wells,CA,2021-02-14 03:42:49,65.282,-126.8329,-18.4,76,1,2.3
199,San Juan,AR,2021-02-14 03:40:37,-31.5375,-68.5364,79.5,34,62,7.52
200,Abu Samrah,SY,2021-02-14 03:42:49,35.3029,37.1841,48.72,63,0,3.74
201,Banda Aceh,ID,2021-02-14 03:42:49,5.5577,95.3222,85.64,65,13,7.56
202,Kutum,SD,2021-02-14 03:42:49,14.2,24.6667,55.54,37,0,6.26
203,Touros,BR,2021-02-14 03:40:29,-5.1989,-35.4608,78.8,83,40,4.61
204,Slave Lake,CA,2021-02-14 03:42:49,55.2834,-114.769,-5.8,71,1,13.8
205,Tocopilla,CL,2021-02-14 03:41:53,-22.092,-70.1979,68.52,70,0,5.41
206,Aktas,KZ,2021-02-14 03:42:49,49.7789,72.9608,5.0,85,20,4.47
207,Zhezkazgan,KZ,2021-02-14 03:41:57,47.8043,67.7144,14.34,94,14,9.46
208,Kahului,US,2021-02-14 03:38:52,20.8947,-156.47,80.6,57,40,14.97
209,Bac Lieu,VN,2021-02-14 03:42:50,9.285,105.7244,76.95,70,100,11.41
210,Kalianget,ID,2021-02-14 03:42:50,-7.05,113.9333,84.67,70,92,4.38
211,Junin,AR,2021-02-14 03:42:50,-34.5838,-60.9433,63.0,63,85,5.79
212,Vagur,FO,2021-02-14 03:42:50,61.4732,-6.8119,40.3,83,100,38.43
213,Port Hardy,CA,2021-02-14 03:42:50,50.6996,-127.4199,35.6,86,90,18.41
214,Ulaangom,MN,2021-02-14 03:42:17,49.9811,92.0667,-5.4,90,62,1.19
215,Anito,PH,2021-02-14 03:42:50,12.4497,125.2886,80.08,86,100,8.7
216,Lompoc,US,2021-02-14 03:42:51,34.6391,-120.4579,53.6,76,1,14.97
217,Quatre Cocos,MU,2021-02-14 03:42:51,-20.2078,57.7625,82.0,83,40,5.75
218,Arcata,US,2021-02-14 03:42:51,40.8665,-124.0828,48.0,93,90,2.86
219,Rincon,US,2021-02-14 03:42:51,32.296,-81.2354,44.6,87,90,4.61
220,Sampit,ID,2021-02-14 03:41:45,-2.5333,112.95,84.02,78,100,3.31
221,Vanimo,PG,2021-02-14 03:42:51,-2.6741,141.3028,82.63,82,53,10.51
222,Sterling,US,2021-02-14 03:38:50,39.0062,-77.4286,28.0,93,90,8.05
223,Mankachar,IN,2021-02-14 03:42:51,25.5333,89.8667,77.56,31,12,4.18
224,Darhan,MN,2021-02-14 03:42:51,49.4867,105.9228,-2.31,86,93,4.68
225,Krasnoselkup,RU,2021-02-14 03:42:52,65.7,82.4667,-34.06,82,0,6.17
226,Marystown,CA,2021-02-14 03:38:06,47.1666,-55.1483,21.9,91,15,13.91
227,Langham,CA,2021-02-14 03:42:52,52.3668,-106.9679,-25.01,68,20,8.05
228,Pervomayskoye,RU,2021-02-14 03:42:52,43.919,46.7102,33.3,82,87,6.29
229,Kualakapuas,ID,2021-02-14 03:42:52,-3.0091,114.3876,80.6,78,40,8.05
230,Necochea,AR,2021-02-14 03:42:52,-38.5473,-58.7368,66.0,95,93,3.0
231,Havoysund,NO,2021-02-14 03:42:52,70.9963,24.6622,24.8,86,90,10.36
232,Haines Junction,CA,2021-02-14 03:42:52,60.7522,-137.5108,-14.8,76,0,1.14
233,Inhambane,MZ,2021-02-14 03:42:53,-23.865,35.3833,80.28,84,43,8.57
234,Labuhan,ID,2021-02-14 03:42:53,-6.8844,112.2051,84.13,72,100,6.62
235,Saint George,US,2021-02-14 03:38:26,37.1041,-113.5841,48.99,53,1,13.8
236,Fez,MA,2021-02-14 03:42:53,34.0372,-4.9998,37.4,87,0,5.75
237,Thinadhoo,MV,2021-02-14 03:42:53,0.5333,72.9333,82.58,72,55,6.96
238,Normandin,CA,2021-02-14 03:42:53,48.8333,-72.5321,3.2,78,100,8.05
239,College,US,2021-02-14 03:42:54,64.8569,-147.8028,0.0,84,1,2.73
240,Izumo,JP,2021-02-14 03:42:54,35.3667,132.7667,59.0,63,75,2.3
241,Narsaq,GL,2021-02-14 03:39:04,60.9167,-46.05,37.4,56,40,3.44
242,Batemans Bay,AU,2021-02-14 03:42:23,-35.7167,150.1833,70.0,75,3,4.0
243,Hit,IQ,2021-02-14 03:42:54,33.6416,42.8251,56.75,53,0,6.62
244,Nouakchott,MR,2021-02-14 03:42:54,18.0858,-15.9785,64.4,10,0,9.22
245,Santa Isabel Do Rio Negro,BR,2021-02-14 03:42:54,-0.4139,-65.0192,76.44,92,100,1.54
246,Aykhal,RU,2021-02-14 03:41:38,66.0,111.5,-22.97,81,90,4.47
247,Shadrinsk,RU,2021-02-14 03:42:55,56.0852,63.6335,26.44,96,100,15.1
248,Flinders,AU,2021-02-14 03:42:55,-34.5833,150.8552,73.4,60,40,14.97
249,Lorengau,PG,2021-02-14 03:42:12,-2.0226,147.2712,83.61,73,98,7.72
250,Marzuq,YE,2021-02-14 03:42:55,14.4,46.4667,59.02,45,76,1.66
251,Shelburne,CA,2021-02-14 03:42:55,44.0787,-80.2041,10.99,86,100,6.2
252,Natchitoches,US,2021-02-14 03:42:55,31.7668,-93.1335,32.0,74,1,11.5
253,Faanui,PF,2021-02-14 03:42:56,-16.4833,-151.75,81.66,69,19,5.46
254,San Fernando,PH,2021-02-14 03:42:56,15.0286,120.6898,82.4,69,75,6.91
255,Fairbanks,US,2021-02-14 03:41:50,64.8378,-147.7164,0.0,84,1,2.39
256,Kantunilkin,MX,2021-02-14 03:42:56,21.0917,-87.45,75.2,94,20,4.61
257,Moerai,PF,2021-02-14 03:42:56,-22.4333,-151.3333,82.71,64,0,5.7
258,Port Hedland,AU,2021-02-14 03:42:09,-20.3167,118.5667,87.8,55,0,12.66
259,Vila Velha,BR,2021-02-14 03:42:56,-20.3297,-40.2925,77.0,83,75,8.05
260,Batagay-Alyta,RU,2021-02-14 03:42:56,67.8006,130.4114,-7.42,82,34,1.61
261,Dukat,RU,2021-02-14 03:42:57,62.55,155.55,-24.41,84,100,4.88
262,Brigantine,US,2021-02-14 03:42:57,39.4101,-74.3646,32.0,93,90,9.22
263,Alyangula,AU,2021-02-14 03:42:57,-13.8483,136.4192,89.6,62,59,8.05
264,Husavik,IS,2021-02-14 03:42:57,66.0449,-17.3389,37.4,70,90,18.41
265,Luwuk,ID,2021-02-14 03:42:57,-0.9516,122.7875,87.6,58,99,1.92
266,Yvetot,FR,2021-02-14 03:42:57,49.6174,0.7581,27.0,68,0,11.5
267,Whitefish,US,2021-02-14 03:39:39,48.4111,-114.3376,10.4,44,1,16.11
268,Champerico,GT,2021-02-14 03:42:57,14.3,-91.9167,64.0,93,0,9.64
269,Shorapur,IN,2021-02-14 03:42:57,16.5167,76.75,74.1,32,90,8.14
270,Lasa,IT,2021-02-14 03:38:55,46.6166,10.7002,17.01,39,0,1.03
271,Shakawe,BW,2021-02-14 03:42:58,-18.3667,21.85,63.93,78,81,6.58
272,Sitka,US,2021-02-14 03:41:03,57.0531,-135.33,30.2,47,20,5.75
273,Sarangani,PH,2021-02-14 03:42:58,5.4033,125.4636,80.22,79,71,12.91
274,Orlik,RU,2021-02-14 03:42:58,52.5178,99.825,2.77,84,100,3.76
275,Kalmunai,LK,2021-02-14 03:42:58,7.4167,81.8167,80.96,82,46,10.18
276,Takoradi,GH,2021-02-14 03:42:58,4.8845,-1.7554,80.2,86,28,10.94
277,Straubing,DE,2021-02-14 03:42:58,48.8833,12.5667,12.99,88,0,1.01
278,Pangnirtung,CA,2021-02-14 03:42:59,66.1451,-65.7125,-22.4,80,88,2.64
279,Bow Island,CA,2021-02-14 03:42:59,49.8668,-111.3684,-18.4,69,3,4.61
280,Talnakh,RU,2021-02-14 03:42:59,69.4865,88.3972,-24.16,85,100,2.75
