City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Sioux Lookout,CA,50.1001,-91.917,-16.6,58,20,4.61,few clouds
275,Taltal,CL,-25.4,-70.4833,65.79,76,6,4.88,clear sky
276,Iskateley,RU,67.6803,53.1512,-20.88,87,100,9.64,overcast clouds
277,Katsuura,JP,35.1333,140.3,60.8,100,75,4.61,mist
278,Uzhur,RU,55.3036,89.8339,10.11,95,100,4.94,light snow
279,Taoudenni,ML,22.6783,-3.9836,70.05,24,0,24.96,clear sky
280,Kresttsy,RU,58.2452,32.5165,-6.52,91,62,4.63,broken clouds
281,Tupik,RU,54.4253,119.9327,-14.37,86,100,4.0,overcast clouds
282,Inhambane,MZ,-23.865,35.3833,79.77,86,99,9.57,light rain
283,Marystown,CA,47.1666,-55.1483,25.95,95,100,14.16,overcast clouds
284,Luderitz,NA,-26.6481,15.1594,66.88,70,0,19.46,clear sky
285,Quatre Cocos,MU,-20.2078,57.7625,75.99,94,40,5.84,scattered clouds
286,Teofilo Otoni,BR,-17.8575,-41.5053,71.08,84,100,1.43,moderate rain
287,Lake City,US,30.1897,-82.6393,51.8,100,90,4.61,fog
288,Kuznechnoye,RU,61.12,29.8686,-0.99,86,1,4.38,clear sky
289,North Bend,US,43.4065,-124.2243,51.8,82,90,14.97,overcast clouds
290,Lodja,CD,-3.4833,23.4333,71.28,89,100,1.39,overcast clouds
291,Banda Aceh,ID,5.5577,95.3222,79.52,77,0,13.0,clear sky
292,Ancud,CL,-41.8697,-73.8203,55.99,62,0,6.91,clear sky
293,Moura,PT,38.1401,-7.4486,51.8,82,0,5.75,clear sky
294,Hun,LY,29.1268,15.9477,50.09,76,0,15.7,clear sky
295,Hasaki,JP,35.7333,140.8333,57.2,94,75,16.11,moderate rain
296,Codrington,AU,-38.2667,141.9667,68.47,57,100,10.87,overcast clouds
297,Tokonou,GN,9.65,-9.7833,76.06,70,1,6.96,clear sky
298,Joshimath,IN,30.5667,79.5667,42.51,53,77,5.88,broken clouds
299,Champerico,GT,14.3,-91.9167,84.2,61,20,6.91,few clouds
300,Ketchikan,US,55.3422,-131.6461,33.8,93,90,3.44,light snow
301,Bloomfield,US,40.8068,-74.1854,37.4,60,40,2.62,scattered clouds
302,Bridlington,GB,54.0831,-0.1919,37.0,88,100,5.99,overcast clouds
303,Lac Du Bonnet,CA,50.2536,-96.0612,-27.13,84,0,4.94,clear sky
304,Talcahuano,CL,-36.7167,-73.1167,66.2,59,0,12.66,clear sky
305,Kysyl-Syr,RU,63.8986,122.7617,-20.34,86,100,6.58,overcast clouds
306,Oistins,BB,13.0667,-59.5333,78.8,69,40,23.02,scattered clouds
307,Ponta Do Sol,PT,32.6667,-17.1,55.0,73,16,3.0,few clouds
308,Anjar,IN,23.1333,70.0167,60.64,87,0,5.39,clear sky
309,Great Falls,US,47.5002,-111.3008,-6.0,71,90,8.05,overcast clouds
310,Vila Velha,BR,-20.3297,-40.2925,79.0,73,0,8.05,moderate rain
311,Buin,CL,-33.7333,-70.75,73.99,68,0,9.22,clear sky
312,Niono,ML,14.2526,-5.993,76.06,17,0,4.56,clear sky
313,Walvis Bay,NA,-22.9575,14.5053,65.19,78,0,12.21,clear sky
314,Cidreira,BR,-30.1811,-50.2056,72.99,84,84,6.29,broken clouds
315,Mount Gambier,AU,-37.8333,140.7667,66.2,63,100,12.66,overcast clouds
316,Longyan,CN,25.1072,117.0225,60.87,58,0,3.11,clear sky
317,Lazaro Cardenas,MX,17.9583,-102.2,71.69,71,2,7.29,clear sky
318,Kathmandu,NP,27.7167,85.3167,48.2,100,20,3.44,mist
319,Kungurtug,RU,50.5994,97.5228,10.42,92,100,1.54,light snow
320,Zomin,UZ,39.9606,68.3958,46.31,50,0,2.71,clear sky
321,Antalya,TR,36.7741,30.7178,51.8,93,40,4.61,scattered clouds
322,Kaitangata,NZ,-46.2817,169.8464,60.01,81,100,5.01,overcast clouds
323,Hobyo,SO,5.3505,48.5268,75.94,80,9,14.18,clear sky
324,Newcastle,AU,-32.9272,151.7765,73.99,64,90,23.02,overcast clouds
325,Amazar,RU,53.858,120.875,-11.99,83,99,4.52,overcast clouds
326,Hambantota,LK,6.1241,81.1185,73.4,100,0,5.75,clear sky
327,Leningradskiy,RU,69.3833,178.4167,-13.38,85,0,4.79,clear sky
328,Haapiti,PF,-17.5667,-149.8667,86.0,70,40,13.8,scattered clouds
329,Sandpoint,US,48.2766,-116.5533,23.0,50,40,3.44,scattered clouds
330,Ormara,PK,25.2088,64.6357,69.71,66,0,8.19,clear sky
331,Vidim,RU,56.4088,103.1106,-23.73,85,0,1.79,clear sky
332,Rypefjord,NO,70.6333,23.6667,32.0,100,75,9.22,light snow
333,Kiruna,SE,67.8557,20.2251,23.0,80,90,8.05,overcast clouds
334,Chagoda,RU,59.164,35.3285,-11.25,89,26,5.23,scattered clouds
335,Kattivakkam,IN,13.2167,80.3167,69.8,88,20,4.88,mist
336,Erdenet,MN,49.0333,104.0833,0.93,92,100,8.19,overcast clouds
337,Eureka,US,40.8021,-124.1637,50.0,94,100,1.01,overcast clouds
338,Isangel,VU,-19.55,169.2667,86.0,84,75,4.99,broken clouds
339,Sorland,NO,67.667,12.6934,36.19,80,23,6.73,few clouds
340,Maneadero,MX,31.7167,-116.5667,60.01,78,90,4.0,overcast clouds
341,Jiazi,CN,22.8779,116.067,66.94,60,0,6.35,clear sky
